"Text",Label
"I want to book flights to New York, Paris, and Rome.",NewBooking_SelectMultiCityFlight
"Can you help me arrange a multi-city itinerary?",NewBooking_SelectMultiCityFlight
"I'd like to purchase a multi-city flight package.",NewBooking_SelectMultiCityFlight
"Book me a multi-city trip with stops in London and Berlin.",NewBooking_SelectMultiCityFlight
"I need to reserve flights to Tokyo, Sydney, and Melbourne.",NewBooking_SelectMultiCityFlight
"Looking to book a multi-city flight route.",NewBooking_SelectMultiCityFlight
"Can I arrange a multi-city flight from Dubai to Rome to Madrid?",NewBooking_SelectMultiCityFlight
"I'd like to set up a multi-city itinerary for my vacation.",NewBooking_SelectMultiCityFlight
"Help me book a multi-city flight plan.",NewBooking_SelectMultiCityFlight
"Book a multi-city flight with multiple destinations.",NewBooking_SelectMultiCityFlight
