Text,Label
# NewBooking Intents

# NewBooking_SelectFlight
"I want to book a flight to New York.",NewBooking_SelectFlight
"Can you help me book a flight to London?",NewBooking_SelectFlight
"I'd like to purchase a plane ticket to Tokyo.",NewBooking_SelectFlight
"Book me a flight to Paris.",NewBooking_SelectFlight
"I need to reserve a flight for my trip to Sydney.",NewBooking_SelectFlight
"Help me find a flight to Berlin.",NewBooking_SelectFlight
"I want to get a flight ticket to Dubai.",NewBooking_SelectFlight
"Looking to book a flight to Rome.",NewBooking_SelectFlight
"Can I book a flight to Madrid?",NewBooking_SelectFlight
"I'd like to arrange a flight to Amsterdam.",NewBooking_SelectFlight

# NewBooking_SelectCarHire
"I need to rent a car for my trip.",NewBooking_SelectCarHire
"Can you help me hire a car?",NewBooking_SelectCarHire
"I'd like to book a rental car.",NewBooking_SelectCarHire
"Rent me a car for my vacation.",NewBooking_SelectCarHire
"I want to hire a vehicle for my stay.",NewBooking_SelectCarHire
"Looking to book a car hire service.",NewBooking_SelectCarHire
"Can I rent a car for my business trip?",NewBooking_SelectCarHire
"I'd like to arrange a car rental.",NewBooking_SelectCarHire
"Help me find a car to rent.",NewBooking_SelectCarHire
"Book a rental car for me, please.",NewBooking_SelectCarHire

# NewBooking_SelectHotel
"I need to book a hotel in New York.",NewBooking_SelectHotel
"Can you help me reserve a hotel room?",NewBooking_SelectHotel
"I'd like to find a hotel for my stay.",NewBooking_SelectHotel
"Book me a hotel in London.",NewBooking_SelectHotel
"I want to reserve a hotel in Tokyo.",NewBooking_SelectHotel
"Looking to book a hotel room.",NewBooking_SelectHotel
"Can I book a hotel for my vacation?",NewBooking_SelectHotel
"I'd like to arrange a hotel booking.",NewBooking_SelectHotel
"Help me find a hotel to stay at.",NewBooking_SelectHotel
"Book a hotel room for me, please.",NewBooking_SelectHotel

# NewBooking_SelectPackageDeal
"I want to book a flight and hotel package.",NewBooking_SelectPackageDeal
"Can you help me with a flight and car hire bundle?",NewBooking_SelectPackageDeal
"I'd like to purchase a travel package deal.",NewBooking_SelectPackageDeal
"Book me a package that includes flight and hotel.",NewBooking_SelectPackageDeal
"I need to reserve a package deal for my trip.",NewBooking_SelectPackageDeal
"Looking to book a package with flight and car.",NewBooking_SelectPackageDeal
"Can I book a travel package with hotel included?",NewBooking_SelectPackageDeal
"I'd like to arrange a package deal for my vacation.",NewBooking_SelectPackageDeal
"Help me find a flight and hotel package.",NewBooking_SelectPackageDeal
"Book a flight and hotel bundle for me, please.",NewBooking_SelectPackageDeal

# NewBooking_FlightTypeSelection
"I want a one-way flight to New York.",NewBooking_FlightTypeSelection
"Can you find me a round-trip flight to London?",NewBooking_FlightTypeSelection
"I'd like to book a multi-city flight itinerary.",NewBooking_FlightTypeSelection
"Book a one-way flight for me.",NewBooking_FlightTypeSelection
"I need a round-trip ticket to Tokyo.",NewBooking_FlightTypeSelection
"Looking to arrange a multi-city flight.",NewBooking_FlightTypeSelection
"Can I get a one-way ticket to Berlin?",NewBooking_FlightTypeSelection
"I'd like a round-trip flight to Dubai.",NewBooking_FlightTypeSelection
"Help me book a multi-city flight.",NewBooking_FlightTypeSelection
"Book a round-trip flight for my trip.",NewBooking_FlightTypeSelection

# NewBooking_SelectMultiCityFlight
"I want to book flights to New York, Paris, and Rome.",NewBooking_SelectMultiCityFlight
"Can you help me arrange a multi-city itinerary?",NewBooking_SelectMultiCityFlight
"I'd like to purchase a multi-city flight package.",NewBooking_SelectMultiCityFlight
"Book me a multi-city trip with stops in London and Berlin.",NewBooking_SelectMultiCityFlight
"I need to reserve flights to Tokyo, Sydney, and Melbourne.",NewBooking_SelectMultiCityFlight
"Looking to book a multi-city flight route.",NewBooking_SelectMultiCityFlight
"Can I arrange a multi-city flight from Dubai to Rome to Madrid?",NewBooking_SelectMultiCityFlight
"I'd like to set up a multi-city itinerary for my vacation.",NewBooking_SelectMultiCityFlight
"Help me book a multi-city flight plan.",NewBooking_SelectMultiCityFlight
"Book a multi-city flight with multiple destinations.",NewBooking_SelectMultiCityFlight

# NewBooking_AddInsurance
"I want to add travel insurance to my booking.",NewBooking_AddInsurance
"Can you include insurance with my flight?",NewBooking_AddInsurance
"I'd like to purchase travel insurance.",NewBooking_AddInsurance
"Add insurance to my hotel reservation.",NewBooking_AddInsurance
"Include insurance in my car hire booking.",NewBooking_AddInsurance
"Looking to add travel insurance to my package deal.",NewBooking_AddInsurance
"Can I get insurance for my trip?",NewBooking_AddInsurance
"I'd like to include insurance in my booking.",NewBooking_AddInsurance
"Help me add travel insurance to my reservation.",NewBooking_AddInsurance
"Add insurance coverage to my travel plans.",NewBooking_AddInsurance

# NewBooking_SpecialRequests
"I have a special request for my flight.",NewBooking_SpecialRequests
"Can I request a window seat?",NewBooking_SpecialRequests
"I need a vegetarian meal on my flight.",NewBooking_SpecialRequests
