"Text",Label
"I need to rent a car for my trip.",NewBooking_SelectCarHire
"Can you help me hire a car?",NewBooking_SelectCarHire
"I'd like to book a rental car.",NewBooking_SelectCarHire
"Rent me a car for my vacation.",NewBooking_SelectCarHire
"I want to hire a vehicle for my stay.",NewBooking_SelectCarHire
"Looking to book a car hire service.",NewBooking_SelectCarHire
"Can I rent a car for my business trip?",NewBooking_SelectCarHire
"I'd like to arrange a car rental.",NewBooking_SelectCarHire
"Help me find a car to rent.",NewBooking_SelectCarHire
"Book a rental car for me, please.",NewBooking_SelectCarHire
