"Text",Label
"I want to book a flight to New York.",NewBooking_SelectFlight
"Can you help me book a flight to London?",NewBooking_SelectFlight
"I'd like to purchase a plane ticket to Tokyo.",NewBooking_SelectFlight
"Book me a flight to Paris.",NewBooking_SelectFlight
"I need to reserve a flight for my trip to Sydney.",NewBooking_SelectFlight
"Help me find a flight to Berlin.",NewBooking_SelectFlight
"I want to get a flight ticket to Dubai.",NewBooking_SelectFlight
"Looking to book a flight to Rome.",NewBooking_SelectFlight
"Can I book a flight to Madrid?",NewBooking_SelectFlight
"I'd like to arrange a flight to Amsterdam.",NewBooking_SelectFlight
