"Text",Label
"I want to add travel insurance to my booking.",NewBooking_AddInsurance
"Can you include insurance with my flight?",NewBooking_AddInsurance
"I'd like to purchase travel insurance.",NewBooking_AddInsurance
"Add insurance to my hotel reservation.",NewBooking_AddInsurance
"Include insurance in my car hire booking.",NewBooking_AddInsurance
"Looking to add travel insurance to my package deal.",NewBooking_AddInsurance
"Can I get insurance for my trip?",NewBooking_AddInsurance
"I'd like to include insurance in my booking.",NewBooking_AddInsurance
"Help me add travel insurance to my reservation.",NewBooking_AddInsurance
"Add insurance coverage to my travel plans.",NewBooking_AddInsurance
