"Text",Label
"I want to add travel insurance to my booking.",NewBooking_AddInsurance
"Can you include insurance with my flight?",NewBooking_AddInsurance
"I'd like to purchase travel insurance.",NewBooking_AddInsurance
"Add insurance to my hotel reservation.",NewBooking_AddInsurance
"Include insurance in my car hire booking.",NewBooking_AddInsurance
"Looking to add travel insurance to my package deal.",NewBooking_AddInsurance
"Can I get insurance for my trip?",NewBooking_AddInsurance
"I'd like to include insurance in my booking.",NewBooking_AddInsurance
"Help me add travel insurance to my reservation.",NewBooking_AddInsurance
"Add insurance coverage to my travel plans.",NewBooking_AddInsurance
"I want a one-way flight to New York.",NewBooking_FlightTypeSelection
"Can you find me a round-trip flight to London?",NewBooking_FlightTypeSelection
"I'd like to book a multi-city flight itinerary.",NewBooking_FlightTypeSelection
"Book a one-way flight for me.",NewBooking_FlightTypeSelection
"I need a round-trip ticket to Tokyo.",NewBooking_FlightTypeSelection
"Looking to arrange a multi-city flight.",NewBooking_FlightTypeSelection
"Can I get a one-way ticket to Berlin?",NewBooking_FlightTypeSelection
"I'd like a round-trip flight to Dubai.",NewBooking_FlightTypeSelection
"Help me book a multi-city flight.",NewBooking_FlightTypeSelection
"Book a round-trip flight for my trip.",NewBooking_FlightTypeSelection
"I want to add my loyalty program details.",NewBooking_LoyaltyProgram
"Can you include my frequent flyer number?",NewBooking_LoyaltyProgram
"I'd like to use my loyalty points for this booking.",NewBooking_LoyaltyProgram
"Add my loyalty program to my reservation.",NewBooking_LoyaltyProgram
"Include my membership ID in my booking.",NewBooking_LoyaltyProgram
"Looking to apply my loyalty points to my flight.",NewBooking_LoyaltyProgram
"Can I use my loyalty benefits for this hotel?",NewBooking_LoyaltyProgram
"I'd like to enter my loyalty program number.",NewBooking_LoyaltyProgram
"Help me add my loyalty details to my booking.",NewBooking_LoyaltyProgram
"Use my frequent traveler number for this reservation.",NewBooking_LoyaltyProgram
"I need to rent a car for my trip.",NewBooking_SelectCarHire
"Can you help me hire a car?",NewBooking_SelectCarHire
"I'd like to book a rental car.",NewBooking_SelectCarHire
"Rent me a car for my vacation.",NewBooking_SelectCarHire
"I want to hire a vehicle for my stay.",NewBooking_SelectCarHire
"Looking to book a car hire service.",NewBooking_SelectCarHire
"Can I rent a car for my business trip?",NewBooking_SelectCarHire
"I'd like to arrange a car rental.",NewBooking_SelectCarHire
"Help me find a car to rent.",NewBooking_SelectCarHire
"Book a rental car for me, please.",NewBooking_SelectCarHire
"I want to book a flight to New York.",NewBooking_SelectFlight
"Can you help me book a flight to London?",NewBooking_SelectFlight
"I'd like to purchase a plane ticket to Tokyo.",NewBooking_SelectFlight
"Book me a flight to Paris.",NewBooking_SelectFlight
"I need to reserve a flight for my trip to Sydney.",NewBooking_SelectFlight
"Help me find a flight to Berlin.",NewBooking_SelectFlight
"I want to get a flight ticket to Dubai.",NewBooking_SelectFlight
"Looking to book a flight to Rome.",NewBooking_SelectFlight
