"Text",Label
"I have a special request for my flight.",NewBooking_SpecialRequests
"Can I request a window seat?",NewBooking_SpecialRequests
"I need a vegetarian meal on my flight.",NewBooking_SpecialRequests
"Please arrange for wheelchair assistance.",NewBooking_SpecialRequests
"I'd like to request extra legroom.",NewBooking_SpecialRequests
"Can you help with a special request for my hotel?",NewBooking_SpecialRequests
"I need a late check-out for my hotel booking.",NewBooking_SpecialRequests
"Please arrange a car seat for my rental car.",NewBooking_SpecialRequests
"I have a special request for my package deal.",NewBooking_SpecialRequests
"Can I request a specific room type?",NewBooking_SpecialRequests
